Date,Close,Open,High,Low,Volume
"Feb 06, 2018",19262.56,19690.49,19690.49,19124.66,573160000
"Feb 05, 2018",19690.49,19962.46,19962.46,19647.8,388430000
"Feb 02, 2018",19962.46,20185.54,20209.94,19962.46,388310000
"Feb 01, 2018",20185.54,20243.6,20333.64,20184.26,386680000
"Jan 31, 2018",20243.6,20370.93,20385.37,20211.22,421490000
"Jan 30, 2018",20370.93,20577.92,20577.92,20370.93,412830000
"Jan 29, 2018",20577.92,20615.58,20715.75,20577.92,306860000
"Jan 26, 2018",20615.58,20521.74,20639.32,20485.34,386600000
"Jan 25, 2018",20521.74,20538.46,20595.93,20459.62,346640000
"Jan 24, 2018",20538.46,20671.2,20712.11,20538.46,349810000
"Jan 23, 2018",20671.2,20655.17,20711.97,20596.43,407460000
"Jan 22, 2018",20655.17,20653.32,20688.61,20618.07,391740000
"Jan 19, 2018",20653.32,20665.02,20679.46,20610.68,356330000
"Jan 18, 2018",20665.02,20769.36,20791.33,20633.96,344270000
"Jan 17, 2018",20769.36,20877.3,20877.3,20752.73,382990000
"Jan 16, 2018",20877.3,20832.77,20907.87,20832.77,350740000
"Jan 15, 2018",20832.77,20859.35,20924.73,20832.77,322580000
"Jan 12, 2018",20859.35,20737.92,20899.92,20737.92,448200000
"Jan 11, 2018",20737.92,20760,20782.76,20697.56,358130000
"Jan 10, 2018",20760,20874.95,20888.32,20737.07,368500000
"Jan 09, 2018",20874.95,20856.56,20911.43,20845.99,317880000
"Jan 08, 2018",20856.56,20932.56,20984.76,20856.56,281620000
"Jan 05, 2018",20932.56,20820.45,20932.56,20781.62,334180000
"Jan 04, 2018",20820.45,20743.9,20820.45,20730.87,322720000
"Jan 03, 2018",20743.9,20681.45,20773.03,20681.45,309720000
"Jan 02, 2018",20681.45,20726.26,20760.56,20620.77,272490000
"Dec 29, 2017",20726.26,20642.31,20734.71,20642.31,112850000
"Dec 28, 2017",20642.31,20640.04,20665.7,20612.06,175010000
"Dec 27, 2017",20640.04,20481.07,20640.04,20479.44,230410000
"Dec 22, 2017",20481.07,20422.73,20502.69,20403.2,154390000
"Dec 21, 2017",20422.73,20350.29,20426.1,20299.95,274970000
"Dec 20, 2017",20350.29,20341.51,20400.67,20295.02,266980000
"Dec 19, 2017",20341.51,20255.4,20405.65,20253.37,380240000
"Dec 18, 2017",20255.4,20048.61,20312.06,20048.61,350080000
"Dec 15, 2017",20048.61,20006.27,20048.61,19962.7,611110000
"Dec 14, 2017",20006.27,20061.4,20061.98,19948.1,426080000
"Dec 13, 2017",20061.4,20073.02,20105.15,20023.39,534290000
"Dec 12, 2017",20073.02,20064.62,20083.09,20003.39,466160000
"Dec 11, 2017",20064.62,19992.54,20073.45,19971.78,329810000
"Dec 08, 2017",19992.54,19810.27,20000.4,19799.38,415340000
"Dec 07, 2017",19810.27,19828.94,19902.08,19774.97,519920000
"Dec 06, 2017",19828.94,19871.08,19871.54,19705.27,401570000
"Dec 05, 2017",19871.08,19935.95,19986.73,19855.81,346900000
"Dec 04, 2017",19935.95,19854.4,20003.26,19854.4,288020000
"Dec 01, 2017",19854.4,19952.89,19986.58,19854.27,428540000
"Nov 30, 2017",19952.89,20059.58,20060.18,19917.1,674840000
"Nov 29, 2017",20059.58,20026.19,20127.03,20019.18,390700000
"Nov 28, 2017",20026.19,19881.26,20030.34,19876.79,338860000
"Nov 27, 2017",19881.26,19944.79,19978.72,19881.26,292040000
"Nov 24, 2017",19944.79,20006.05,20056.1,19944.79,249850000
"Nov 23, 2017",20006.05,20013.86,20038.01,19931.33,274400000
"Nov 22, 2017",20013.86,19943.98,20059.37,19943.89,372880000
"Nov 21, 2017",19943.98,19871.29,19953.88,19818.98,354910000
"Nov 20, 2017",19871.29,19797.83,19878.79,19738.62,301660000
"Nov 17, 2017",19797.83,19850,19861.05,19747.99,309320000
"Nov 16, 2017",19850,19702.78,19850,19702.78,369110000
"Nov 15, 2017",19693.38,19846.6,19850.24,19645.31,411630000
"Nov 14, 2017",19846.6,19787.91,19900.4,19785.51,412030000
"Nov 13, 2017",19787.91,20020.85,20052.04,19765.74,313330000
"Nov 10, 2017",20020.85,20071.87,20088.6,20004.36,277950000
"Nov 09, 2017",20071.87,20300.22,20307.46,20071.87,401570000
"Nov 08, 2017",20300.22,20307.11,20335.82,20266.84,299670000
"Nov 07, 2017",20307.11,20432.6,20465.79,20307.11,718790000
